주문번호,종목이름,임시,거래량,거래대금,종가,기준가
039010,현대통신,480,13319,110,8270,8170
001450,현대해상,6027,135553,3575,26300,26550
057050,현대홈쇼핑,2219,16294,1416,86300,85900
204990,현성바이탈,6344,2124473,5082,2300,2635
092300,현우산업,199,29839,100,3395,3345
053660,현진소재,824,547374,1046,1875,1870
011080,형지I&C,48,9146,6,617,607
093240,형지엘리트,262,69700,97,1390,1405
003010,혜인,484,89598,450,5010,5040
111110,호전실업,172,5613,83,14700,14600
008770,호텔신라,14134,335087,26077,78100,77800
008775,호텔신라우,381,12858,680,52900,53000
060560,홈센타홀딩스,152,79599,95,1190,1180
064240,홈캐스트,871,137165,674,4915,4965
039610,화성밸브,479,59742,425,7120,7240
002460,화성산업,287,11697,144,12350,12400
013520,화승알앤에이,150,32413,64,1985,2000
241590,화승엔터프라이즈,6214,220172,3474,15800,15500
006060,화승인더,4418,243197,2698,11150,10900
010690,화신,907,150770,571,3750,3900
126640,화신정공,161,115077,133,1160,1155
086250,화신테크,1816,204989,503,2420,2475
204630,화이브라더스코리아,359,30625,78,2560,2560
133820,화인베스틸,885,239912,810,3340,3355
061250,화일약품,196,29534,174,5900,5870
010660,화천기계,10480,2552826,8026,3110,3120
000850,화천기공,127,2086,80,38550,38500
016580,환인제약,1204,78666,1325,17050,16550
032560,황금에스티,359,35171,273,7730,7870
004800,효성,4788,48565,4129,84800,85900
094280,효성ITX,472,34624,415,11850,11750
097870,효성오앤비,126,21301,154,7200,7210
298040,효성중공업,1092,22715,702,30750,30800
298050,효성첨단소재,1778,27353,3519,130000,129500
298020,효성티앤씨,2200,10340,1686,163500,165500
298000,효성화학,1771,12384,2138,175500,173500
093370,후성,6448,964594,8590,8870,8950
050090,휘닉스소재,384,169964,115,670,666
081660,휠라코리아,11837,702965,40594,58200,56200
290270,휴네시온,5903,330677,2020,6050,6000
005870,휴니드,425,80529,583,7170,7240
090710,휴림로봇,1441,1237314,1176,938,963
205470,휴마시스,1149,246447,373,1515,1485
115160,휴맥스,154,12800,69,5360,5380
028080,휴맥스홀딩스,59,9372,31,3270,3360
200670,휴메딕스,137,6769,156,23100,23150
079980,휴비스,1091,22585,137,6080,6090
065510,휴비츠,268,15612,136,8780,8820
005010,휴스틸,50,1579,16,10450,10400
243070,휴온스,723,24577,1142,46250,47200
084110,휴온스글로벌,469,20773,624,29900,30350
145020,휴젤,1951,11661,4385,370000,379100
069260,휴켐스,2464,35702,807,22600,22550
024060,흥구석유,10614,1397223,8488,6080,5990
010240,흥국,422,50718,245,4810,4885
000540,흥국화재,291,18655,59,3160,3175
000547,흥국화재2우B,4,4,0,19450,19450
000545,흥국화재우,69,1490,7,4800,4760
003280,흥아해운,219,127994,53,412,417
037440,희림,151,5622,25,4490,4450
238490,힘스,1937,141398,3588,25200,25200
