"체결시간","체결가","체결량"
"09:53:23 640","10650","+3"
"09:53:23 640","10650","+32"
"09:54:01 133","10650","+6"
"09:54:01 136","10650","+6"
"09:54:01 136","10650","+6"
"09:54:01 137","10650","+6"
"09:54:01 137","10650","+13"
"09:54:25 023","10650","+3"
"09:54:34 625","10650","+8"
"09:54:58 634","10600","-2"
"09:55:11 320","10650","+1"
"09:55:24 044","10650","+50"
"09:55:24 044","10650","+1"
"09:55:24 045","10650","+50"
"09:55:26 435","10650","+15"
"09:55:34 638","10650","+19"
"09:55:34 638","10650","+3"
"09:55:34 638","10650","+33"
"09:55:38 329","10650","+1"
"09:55:55 133","10650","+18"
"09:55:55 134","10650","+18"
"09:55:55 135","10650","+37"
"09:55:55 135","10650","+18"
"09:55:55 136","10650","+23"
"09:56:17 118","10650","+13"
"09:56:17 119","10650","+7"
"09:56:17 119","10650","+7"
"09:56:17 119","10650","+7"
"09:56:17 120","10650","+7"
"09:57:20 627","10650","+8"
"09:57:37 215","10600","-200"
"09:57:43 433","10650","+1"
"09:57:46 633","10650","+20"
"09:57:46 634","10650","+4"
"09:57:46 634","10650","+32"
"09:57:48 329","10650","+1"
"09:58:16 741","10650","+1"
"09:58:34 118","10650","+6"
"09:58:34 120","10650","+6"
"09:58:34 138","10650","+6"
"09:58:34 139","10650","+6"
"09:58:34 140","10650","+14"
"09:59:01 031","10650","+50"
"09:59:01 031","10650","+50"
"09:59:01 031","10650","+1"
"09:59:03 213","10650","+15"
"09:59:45 128","10650","+10"
"09:59:58 639","10650","+19"
"09:59:58 640","10650","+3"
"09:59:58 641","10650","+32"
"10:00:06 626","10650","+9"
"10:00:25 563","10650","+19"
"10:00:25 617","10650","+24"
"10:00:25 618","10650","+19"
"10:00:25 618","10650","+19"
"10:00:25 619","10650","+38"
"10:00:50 117","10650","+13"
"10:00:50 120","10650","+7"
"10:00:50 120","10650","+7"
"10:00:50 123","10650","+7"
"10:00:50 124","10650","+7"
"10:00:51 729","10650","+700"
"10:00:54 419","10650","+1"
"10:01:19 140","10600","-100"
"10:01:20 516","10650","+1"
"10:01:23 939","10650","+1"
"10:01:23 940","10650","+891"
"10:01:26 713","10700","+1"
"10:01:29 938","10700","+1"
"10:01:36 335","10700","+1"
"10:01:43 116","10700","+5"
"10:02:10 628","10700","+20"
"10:02:10 628","10700","+3"
"10:02:10 629","10700","+32"
"10:02:14 612","10700","+5"
"10:02:15 325","10650","-5"
"10:02:15 938","10700","+1"
"10:02:22 154","10650","-3"
"10:02:23 911","10650","-179"
"10:02:24 723","10650","+1"
"10:02:38 042","10650","+50"
"10:02:38 042","10650","+50"
"10:02:38 042","10650","+1"
"10:02:39 920","10650","+15"
"10:02:41 507","10650","+1"
"10:02:47 116","10650","+100"
"10:02:47 827","10650","+103"
"10:02:51 124","10700","+1"
"10:02:52 637","10700","+8"
"10:03:07 119","10700","+6"
"10:03:07 120","10700","+6"
"10:03:07 129","10700","+6"
"10:03:07 129","10700","+6"
"10:03:07 130","10700","+13"
"10:03:24 819","10700","+1"
"10:03:53 730","10700","+1"
"10:03:59 935","10700","+1"
"10:04:02 925","10700","+2"
"10:04:03 408","10650","-3"
"10:04:07 037","10700","+1"
"10:04:08 348","10650","-2"
"10:04:09 674","10700","+1"
"10:04:16 767","10700","+1"
"10:04:21 620","10700","+19"
"10:04:21 620","10700","+3"
"10:04:21 621","10700","+33"
"10:04:34 939","10700","+1"
"10:04:56 025","10700","+19"
"10:04:56 025","10700","+24"
"10:04:56 026","10700","+19"
"10:04:56 026","10700","+19"
"10:04:56 027","10700","+37"
"10:04:56 342","10650","-100"
"10:04:58 341","10650","-20"
"10:05:05 522","10700","+1"
"10:05:09 517","10650","-10"
"10:05:10 809","10700","+1"
"10:05:19 315","10700","+1"
"10:05:23 106","10700","+7"
"10:05:23 107","10700","+7"
"10:05:23 108","10700","+7"
"10:05:23 112","10700","+14"
"10:05:23 113","10700","+7"
"10:05:39 628","10700","+1"
"10:05:39 630","10700","+8"
"10:05:59 324","10650","-337"
"10:06:13 921","10650","+1"
"10:06:15 033","10650","+50"
"10:06:15 033","10650","+50"
"10:06:15 034","10650","+50"
"10:06:15 034","10650","+1"
"10:06:15 105","10650","+11"
"10:06:16 727","10700","+15"
"10:06:17 635","10700","+1"
"10:06:21 125","10700","+1"
"10:06:23 811","10700","+1"
"10:06:27 726","10650","-40"
"10:06:33 659","10650","+19"
"10:06:33 660","10650","+3"
"10:06:33 660","10650","+32"
"10:06:50 513","10650","+1"
"10:07:08 616","10650","+1"
"10:07:31 338","10600","-305"
"10:07:36 019","10650","+1"
"10:07:40 112","10650","+6"
"10:07:40 112","10650","+6"
"10:07:40 114","10650","+13"
"10:07:40 114","10650","+6"
"10:07:40 116","10650","+6"
"10:07:40 210","10650","+1"
"10:08:25 617","10650","+8"
"10:08:45 623","10650","+20"
"10:08:45 624","10650","+4"
"10:08:45 625","10650","+32"
"10:08:47 116","10600","-54"
"10:08:53 309","10650","+1"
"10:09:26 510","10650","+19"
"10:09:26 510","10650","+19"
"10:09:26 510","10650","+24"
"10:09:26 511","10650","+38"
"10:09:26 512","10650","+19"
"10:09:51 030","10650","+50"
"10:09:51 030","10650","+50"
"10:09:51 030","10650","+1"
"10:09:53 516","10650","+15"
"10:09:56 105","10650","+7"
"10:09:56 107","10650","+13"
"10:09:56 108","10650","+7"
"10:09:56 108","10650","+7"
"10:09:56 108","10650","+7"
"10:10:32 225","10650","+1"
"10:10:56 621","10650","+19"
"10:10:56 621","10650","+3"
"10:10:56 704","10650","+32"
"10:11:11 611","10650","+8"
"10:11:16 918","10650","+1"
"10:11:50 629","10650","+1"
"10:12:00 871","10650","+1"
"10:12:13 100","10650","+6"
"10:12:13 100","10650","+6"
"10:12:13 101","10650","+14"
"10:12:13 101","10650","+6"
"10:12:13 102","10650","+6"
"10:12:21 308","10600","-5"
"10:12:29 811","10650","+1"
"10:13:08 625","10650","+19"
"10:13:08 625","10650","+3"
"10:13:08 626","10650","+33"
"10:13:28 026","10650","+50"
"10:13:28 026","10650","+50"
"10:13:28 026","10650","+1"
"10:13:30 310","10650","+15"
"10:13:34 142","10600","-52"
"10:13:38 318","10650","+1"
"10:13:56 936","10650","+18"
"10:13:56 937","10650","+18"
"10:13:56 937","10650","+23"
"10:13:56 937","10650","+37"
"10:13:56 938","10650","+18"
"10:13:57 606","10650","+8"
"10:14:29 106","10650","+7"
"10:14:29 106","10650","+7"
"10:14:29 107","10650","+13"
"10:14:29 107","10650","+7"
"10:14:29 108","10650","+7"
"10:14:41 626","10650","+6"
"10:15:20 626","10650","+20"
"10:15:20 628","10650","+3"
"10:15:20 628","10650","+32"
"10:16:44 606","10650","+8"
"10:16:45 304","10600","-315"
"10:16:45 306","10600","-977"
"10:16:46 106","10650","+6"
"10:16:46 107","10650","+6"
"10:16:46 107","10650","+6"
"10:16:46 108","10650","+6"
"10:16:46 109","10650","+13"
"10:17:02 144","10600","-1"
"10:17:04 998","10600","+50"
"10:17:04 998","10600","+50"
"10:17:04 998","10600","+1"
"10:17:07 013","10600","+15"
"10:17:31 611","10600","+19"
"10:17:31 611","10600","+4"
"10:17:31 611","10600","+32"
"10:17:42 710","10600","+578"
"10:17:45 501","10650","+1"
"10:17:45 504","10600","-422"
"10:17:49 704","10650","+1"
"10:18:27 600","10600","-119"
"10:18:37 310","10650","+1"
"10:18:45 309","10600","-1"
"10:19:02 109","10600","+7"
"10:19:02 111","10600","+7"
"10:19:02 112","10600","+7"
"10:19:02 114","10600","+14"
"10:19:02 115","10600","+7"
"10:19:19 311","10600","+1"
"10:19:30 600","10600","+8"
"10:19:40 117","10600","+148"
"10:19:43 614","10650","+19"
"10:19:43 614","10650","+3"
"10:19:43 615","10650","+32"
"10:19:44 522","10650","+1"
"10:20:42 007","10650","+50"
"10:20:42 007","10650","+50"
"10:20:42 007","10650","+1"
"10:20:43 805","10650","+15"
"10:20:59 001","10600","-532"
"10:21:19 099","10600","+6"
"10:21:19 100","10600","+6"
"10:21:19 101","10600","+13"
"10:21:19 102","10600","+6"
"10:21:19 102","10600","+6"
"10:21:55 616","10600","+20"
"10:21:55 616","10600","+3"
"10:21:55 616","10600","+33"
"10:22:16 605","10600","+9"
"10:22:17 316","10600","+5"
"10:22:31 808","10600","+50"
"10:22:43 303","10550","-927"
"10:22:43 303","10500","-9073"
"10:22:57 912","10550","-118"
"10:23:35 096","10600","+7"
"10:23:35 097","10600","+7"
"10:23:35 098","10600","+7"
"10:23:35 098","10600","+7"
"10:23:35 102","10600","+13"
"10:23:50 895","10500","-1"
"10:23:54 508","10500","-1"
"10:24:06 610","10550","+19"
"10:24:06 611","10550","+3"
"10:24:06 611","10550","+32"
"10:24:07 097","10500","-107"
"10:24:10 014","10500","+293"
"10:24:20 504","10550","+15"
"10:24:31 491","10500","-100"
"10:24:53 388","10550","+30"
"10:25:02 599","10550","+6"
"10:25:06 101","10550","-2"
"10:25:16 999","10550","+100"
"10:25:51 100","10550","+6"
"10:25:51 101","10550","+6"
"10:25:51 102","10550","+6"
"10:25:51 102","10550","+14"
"10:25:51 108","10550","+6"
"10:26:18 600","10550","+19"
"10:26:18 601","10550","+3"
"10:26:18 601","10550","+32"
"10:27:28 296","10550","+19"
"10:27:28 297","10550","+19"
"10:27:28 297","10550","+38"
"10:27:28 297","10550","+24"
"10:27:28 298","10550","+19"
"10:27:37 411","10500","-1757"
"10:27:49 597","10500","+8"
"10:27:52 292","10500","+1"
"10:27:52 400","10450","-220"
"10:27:52 702","10450","-3"
"10:27:55 108","10500","+1"
"10:27:57 302","10500","+15"
"10:27:58 085","10500","+1"
"10:28:00 789","10500","+1"
"10:28:03 393","10500","+1"
"10:28:06 504","10500","+1"
"10:28:08 091","10500","+7"
"10:28:08 092","10500","+7"
"10:28:08 094","10500","+13"
"10:28:08 094","10500","+7"
"10:28:08 096","10500","+7"
"10:28:10 000","10500","+1"
"10:28:20 902","10500","+3"
"10:28:30 602","10500","+20"
"10:28:30 602","10500","+4"
"10:28:30 693","10500","+32"
"10:29:11 494","10500","+2000"
"10:29:29 196","10500","+1600"
"10:29:29 197","10500","+27"
"10:29:48 713","10550","+1"
"10:29:50 106","10500","-2"
"10:29:53 901","10550","+1"
"10:30:24 090","10550","+6"
"10:30:24 090","10550","+6"
"10:30:24 090","10550","+6"
"10:30:24 093","10550","+13"
"10:30:24 093","10550","+6"
"10:30:35 606","10550","+8"
"10:30:41 615","10550","+19"
"10:30:41 616","10550","+3"
"10:30:41 616","10550","+33"
"10:30:54 900","10550","+1"
"10:31:32 021","10550","+50"
"10:31:32 021","10550","+50"
"10:31:32 023","10550","+1"
"10:31:34 103","10550","+15"
"10:31:58 801","10550","+23"
"10:31:58 801","10550","+18"
"10:31:58 802","10550","+37"
"10:31:58 803","10550","+18"
"10:31:58 804","10550","+18"
"10:32:30 303","10550","+284"
"10:32:36 890","10550","+10"
"10:32:40 398","10550","+8"
"10:32:41 095","10550","+14"
"10:32:41 096","10550","+7"
"10:32:41 100","10550","+7"
"10:32:41 101","10550","+7"
"10:32:41 101","10550","+7"
"10:32:49 088","10550","+100"
"10:32:52 601","10550","+10"
"10:32:53 601","10550","+20"
"10:32:53 602","10550","+3"
"10:32:53 682","10550","+32"
"10:33:13 394","10550","+245"
"10:33:18 397","10550","+100"
"10:33:21 614","10550","+8"
"10:34:01 899","10550","+100"
"10:34:07 498","10550","+217"
"10:34:08 891","10600","+1"
"10:34:14 286","10600","+1"
"10:34:15 987","10600","+1"
"10:34:44 194","10550","-290"
"10:34:44 295","10550","-500"
"10:34:46 683","10600","+1"
"10:34:51 990","10600","+1"
"10:34:57 097","10600","+6"
"10:34:57 098","10600","+6"
"10:34:57 100","10600","+6"
"10:34:57 101","10600","+6"
"10:34:57 102","10600","+13"
"10:35:01 481","10600","+1"
"10:35:05 604","10600","+19"
"10:35:05 624","10600","+3"
"10:35:05 625","10600","+32"
"10:35:08 996","10600","+50"
"10:35:08 996","10600","+50"
"10:35:08 996","10600","+1"
"10:35:10 787","10600","+15"
"10:35:33 393","10600","+1"
"10:35:33 486","10550","-2"
"10:35:36 792","10600","+1"
"10:35:38 195","10600","+1"
